Table,DMStat,DMRisk,DMBMI,DMAge,F_RIDRETH3,RIDRETH3,F_RIAGENDR,RIAGENDR,Frequency,WgtFreq,StdDev,Percent,StdErr,_SkipLine
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Total,,Male,Male,16,602248,282952,26.8142,7.6953,-
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Total,,Female,Female,35,1643756,306675,73.1858,7.6953,
Table 15 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,At risk,Obese,65-70,Total,,Total,,51,2246004,524276,100.0000,_,1
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Mexican American,Mexican American,Male,Male,2,23421,23421,0.9862,0.9656,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Mexican American,Mexican American,Female,Female,7,95967,75516,4.0410,3.1134,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Mexican American,Mexican American,Total,,9,119388,97961,5.0272,4.0360,1
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Hispanic,Other Hispanic,Male,Male,1,6119,6119,0.2577,0.2620,-
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Hispanic,Other Hispanic,Female,Female,6,64916,30211,2.7335,1.4939,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Hispanic,Other Hispanic,Total,,7,71035,34624,2.9911,1.6801,1
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic White,NonHispanic White,Male,Male,15,717087,215404,30.1950,6.4864,-
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic White,NonHispanic White,Female,Female,16,1105173,383945,46.5364,9.4175,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic White,NonHispanic White,Total,,31,1822260,489172,76.7314,6.1158,1
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Black,NonHispanic Black,Male,Male,4,55390,20775,2.3324,0.9436,-
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Black,NonHispanic Black,Female,Female,8,149333,70638,6.2881,3.7925,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Black,NonHispanic Black,Total,,12,204723,73944,8.6205,4.2127,1
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Asian,NonHispanic Asian,Male,Male,1,19843,19843,0.8356,0.7761,-
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Asian,NonHispanic Asian,Female,Female,3,64619,37505,2.7210,1.6586,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,NonHispanic Asian,NonHispanic Asian,Total,,4,84463,42431,3.5565,1.7663,1
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,1,14380,14380,0.6055,0.6101,-
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,2,58606,44178,2.4678,1.8106,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,3,72986,46460,3.0733,1.9048,1
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Total,,Male,Male,24,836240,226949,35.2123,6.4411,-
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Total,,Female,Female,42,1538615,348786,64.7877,6.4411,
Table 16 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Obese,Over 70,Total,,Total,,66,2374855,481117,100.0000,_,1
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Mexican American,Mexican American,Male,Male,2,22712,1266,6.0468,2.2696,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Mexican American,Mexican American,Female,Female,0,,,,,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Mexican American,Mexican American,Total,,2,22712,1266,6.0468,2.2696,1
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Other Hispanic,Male,Male,0,,,,,-
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Other Hispanic,Female,Female,0,,,,,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Hispanic,Other Hispanic,Total,,0,,,,,1
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic White,NonHispanic White,Male,Male,4,115013,59459,30.6212,15.9895,-
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic White,NonHispanic White,Female,Female,2,173182,126034,46.1082,19.5277,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic White,NonHispanic White,Total,,6,288195,139356,76.7294,12.2512,1
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,NonHispanic Black,Male,Male,0,,,,,-
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,NonHispanic Black,Female,Female,1,23381,23381,6.2250,6.2673,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Black,NonHispanic Black,Total,,1,23381,23381,6.2250,6.2673,1
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,NonHispanic Asian,Male,Male,1,19345,19345,5.1505,5.6867,-
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,NonHispanic Asian,Female,Female,1,21966,21966,5.8483,5.9099,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,NonHispanic Asian,NonHispanic Asian,Total,,2,41311,29270,10.9988,8.6314,1
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,0,,,,,1
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Total,,Male,Male,7,157070,50744,41.8185,16.4758,-
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Total,,Female,Female,4,218529,130053,58.1815,16.4758,
Table 17 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Overwweight,Over 70,Total,,Total,,11,375599,139602,100.0000,_,1
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Mexican American,Mexican American,Male,Male,0,,,,,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Mexican American,Mexican American,Female,Female,0,,,,,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Mexican American,Mexican American,Total,,0,,,,,1
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Other Hispanic,Other Hispanic,Male,Male,0,,,,,-
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Other Hispanic,Other Hispanic,Female,Female,0,,,,,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Other Hispanic,Other Hispanic,Total,,0,,,,,1
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic White,NonHispanic White,Male,Male,1,20281,20281,49.5143,35.3520,-
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic White,NonHispanic White,Female,Female,0,,,,,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic White,NonHispanic White,Total,,1,20281,20281,49.5143,35.3520,1
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic Black,NonHispanic Black,Male,Male,0,,,,,-
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic Black,NonHispanic Black,Female,Female,1,20679,20679,50.4857,35.3520,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic Black,NonHispanic Black,Total,,1,20679,20679,50.4857,35.3520,1
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic Asian,NonHispanic Asian,Male,Male,0,,,,,-
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,NonHispanic Asian,NonHispanic Asian,Total,,0,,,,,1
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,0,,,,,1
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Total,,Male,Male,1,20281,20281,49.5143,35.3520,-
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Total,,Female,Female,1,20679,20679,50.4857,35.3520,
Table 18 of RIDRETH3 * RIAGENDR,Diagnosed Prediabetes,Not at risk,Healthy,Over 70,Total,,Total,,2,40961,28965,100.0000,_,1
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Mexican American,Mexican American,Male,Male,1,35119,35119,7.2323,7.1877,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Mexican American,Mexican American,Female,Female,1,21073,21073,4.3397,4.4375,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Mexican American,Mexican American,Total,,2,56192,40956,11.5720,8.5088,1
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Male,Male,0,,,,,-
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Female,Female,2,46847,33158,9.6475,6.0956,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Other Hispanic,Other Hispanic,Total,,2,46847,33158,9.6475,6.0956,1
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Male,Male,1,126793,126793,26.1114,20.3958,-
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Female,Female,1,28601,28601,5.8901,5.9328,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic White,NonHispanic White,Total,,2,155394,129979,32.0014,19.8359,1
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Male,Male,5,125062,68810,25.7548,12.3018,-
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Female,Female,4,79312,47287,16.3332,9.2843,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic Black,NonHispanic Black,Total,,9,204373,88836,42.0880,15.2187,1
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Male,Male,1,22779,22779,4.6911,4.7806,-
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,NonHispanic Asian,NonHispanic Asian,Total,,1,22779,22779,4.6911,4.7806,1
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,0,,,,,1
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Total,,Male,Male,8,309753,150211,63.7895,13.8157,-
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Total,,Female,Female,8,175833,74485,36.2105,13.8157,
Table 19 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,40-44,Total,,Total,,16,485586,176660,100.0000,_,1
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Mexican American,Mexican American,Male,Male,2,57380,40644,13.7094,9.6808,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Mexican American,Mexican American,Female,Female,2,49866,35335,11.9142,8.6035,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Mexican American,Mexican American,Total,,4,107246,53856,25.6236,13.0535,1
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Male,Male,0,,,,,-
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Female,Female,1,21429,21429,5.1200,4.9752,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Other Hispanic,Other Hispanic,Total,,1,21429,21429,5.1200,4.9752,1
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Male,Male,1,47080,47080,11.2485,10.7274,-
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Female,Female,1,117609,117609,28.0995,21.2607,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic White,NonHispanic White,Total,,2,164689,126682,39.3481,20.0837,1
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Male,Male,1,21834,21834,5.2166,5.6111,-
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Female,Female,4,80522,49565,19.2386,11.2869,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic Black,NonHispanic Black,Total,,5,102356,54161,24.4551,13.0825,1
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Male,Male,1,22824,22824,5.4532,5.2134,-
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,NonHispanic Asian,NonHispanic Asian,Total,,1,22824,22824,5.4532,5.2134,1
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,0,,,,,1
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Total,,Male,Male,5,149118,69758,35.6277,15.8889,-
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Total,,Female,Female,8,269427,137055,64.3723,15.8889,
Table 20 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,45-49,Total,,Total,,13,418544,153478,100.0000,_,1
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Mexican American,Mexican American,Male,Male,2,71104,52374,13.0005,9.9011,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Mexican American,Mexican American,Female,Female,3,49225,29008,9.0003,5.8657,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Mexican American,Mexican American,Total,,5,120329,59870,22.0008,12.0784,1
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Male,Male,1,24573,24573,4.4929,4.5186,-
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Female,Female,1,12511,12511,2.2875,2.8887,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Other Hispanic,Other Hispanic,Total,,2,37084,27575,6.7804,5.9155,1
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Male,Male,1,146672,146672,26.8174,19.3539,-
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Female,Female,1,126323,126323,23.0968,20.1664,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic White,NonHispanic White,Total,,2,272995,193572,49.9142,18.3650,1
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Male,Male,2,46248,32733,8.4559,6.2873,-
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Female,Female,2,57156,40937,10.4503,5.1088,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic Black,NonHispanic Black,Total,,4,103403,61706,18.9062,9.0249,1
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Male,Male,1,13118,13118,2.3984,2.5502,-
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,NonHispanic Asian,NonHispanic Asian,Total,,1,13118,13118,2.3984,2.5502,1
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,0,,,,,-
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,0,,,,,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,0,,,,,1
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Total,,Male,Male,7,301714,161564,55.1652,15.3286,-
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Total,,Female,Female,7,245215,124380,44.8348,15.3286,
Table 21 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,50-54,Total,,Total,,14,546929,231097,100.0000,_,1
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Mexican American,Mexican American,Male,Male,0,,,,,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Mexican American,Mexican American,Female,Female,2,37827,37827,6.7896,6.8588,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Mexican American,Mexican American,Total,,2,37827,37827,6.7896,6.8588,1
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Male,Male,3,79699,58770,14.3054,13.7361,-
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Female,Female,1,18419,18419,3.3061,3.4520,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Other Hispanic,Other Hispanic,Total,,4,98118,61589,17.6115,14.9248,1
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Male,Male,1,177064,177064,31.7817,22.9326,-
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Female,Female,1,162305,162305,29.1325,25.3808,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic White,NonHispanic White,Total,,2,339369,240197,60.9142,22.4312,1
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Male,Male,0,,,,,-
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Female,Female,0,,,,,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic Black,NonHispanic Black,Total,,0,,,,,1
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Male,Male,0,,,,,-
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Female,Female,0,,,,,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,NonHispanic Asian,NonHispanic Asian,Total,,0,,,,,1
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Male,Male,2,61307,43993,11.0042,8.2192,-
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Female,Female,1,20505,20505,3.6805,3.8297,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Other Race Including Multi Racial,Other Race Including Multi Racial,Total,,3,81812,48537,14.6847,9.3440,1
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Total,,Male,Male,6,318070,191679,57.0912,25.4925,-
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Total,,Female,Female,5,239056,168919,42.9088,25.4925,
Table 22 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,55-59,Total,,Total,,11,557127,220254,100.0000,_,1
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,Mexican American,Mexican American,Male,Male,2,16209,11501,3.5466,2.7342,
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,Mexican American,Mexican American,Female,Female,3,25306,19036,5.5371,4.4525,
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,Mexican American,Mexican American,Total,,5,41515,25221,9.0838,6.1193,1
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Male,Male,1,10240,10240,2.2406,2.2975,-
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Female,Female,1,7354,7354,1.6090,1.8124,
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,Other Hispanic,Other Hispanic,Total,,2,17594,12607,3.8496,3.1174,1
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Male,Male,1,116270,116270,25.4406,20.6860,-
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Female,Female,1,116658,116658,25.5255,20.0109,
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,NonHispanic White,NonHispanic White,Total,,2,232928,164705,50.9661,18.9214,1
Table 23 of RIDRETH3 * RIAGENDR,Undiagnosed Diabetes,At risk,Obese,60-64,NonHispanic Black,NonHispanic Black,Male,Male,3,32110,18552,7.0258,3.3395,-
